;Unnamed: 0;Unnamed: 0.1;Annee (0);jour (0);mois (0);dist cote (nq);zone;lat (0);long(0);type(0);pavillon;statut de l'attaque(0);type d'attaque(0);Nombre P  Min;Nombre P  max;nombre embarcation;Vol a bord; Kidnapping;blessees; meurtre;Knives ;RPG;descriptif;latitude;longitude;quinzaine_week;newDescriptif;Guns;mousson;distance au port;distance_shorline;lat_area;lon_area
10;10;10;2010;18;4;;BCD;09:29N;069:18E;Fishing Vessel;Thailand;Steaming;Hijacked;-1;-1;;0;1;0;0;0;0;Armed pirates in skiffs opened fire on the fishing vessel underway and ordered her to stop. Pirates boarded and hijacked the vessel and took her 26 crew members hostage.;9.48333333333;69.3;8.0;armed pirates in skiffs opened fire on the fishing vessel underway and ordered her to stop. pirates boarded and hijacked the vessel and took her 26 crew members hostage.;0;0;713.080357621;702.973552053;20;41
11;11;11;2010;18;4;;BCD;09:29N;069:18E;Fishing Vessel;Thailand;Steaming;Hijacked;-1;-1;;0;1;0;0;0;0;Armed pirates in skiffs opened fire on the fishing vessel underway and ordered her to stop. Pirates boarded and hijacked the vessel and took her 25 crew members hostage.;9.48333333333;69.3;8.0;armed pirates in skiffs opened fire on the fishing vessel underway and ordered her to stop. pirates boarded and hijacked the vessel and took her 25 crew members hostage.;0;0;713.080357621;702.973552053;20;41
12;12;12;2010;18;4;;BCD;09:29N;069:18E;Fishing Vessel;Thailand;Steaming;Hijacked;-1;-1;;0;1;0;0;0;0;Armed pirates in skiffs opened fire on the fishing vessel underway and ordered her to stop. Pirates boarded and hijacked the vessel and took her 26 crew members hostage.;9.48333333333;69.3;8.0;armed pirates in skiffs opened fire on the fishing vessel underway and ordered her to stop. pirates boarded and hijacked the vessel and took her 26 crew members hostage.;0;0;713.080357621;702.973552053;20;41
13;13;13;2010;5;5;;BCD;12:15.7N;059:30.2E;Tanker;Liberia;Steaming;Boarded;-1;-1;;0;0;0;0;0;0;Pirates in a skiff chased and opened fire on the tanker. The tanker made evasive manoeuvres and contacted a warship for help. Later, owners informed that they had lost contact with the tanker and that the ship was not moving. The pirates had boarded and hijacked the tanker. The crew had locked themselves in the steering gear room. Later a warship arrived at the location and dispatched a helicopter.  The boarding team landed onboard the tanker and rescued all 23 crew members safely.  The pirates were detained.  The tanker sustained some damages.  The warship escorted the tanker to a safer area.;12.2519444444;59.5005555556;9.0;pirates in a skiff chased and opened fire on the tanker. the tanker made evasive manoeuvres and contacted a warship for help. later, owners informed that they had lost contact with the tanker and that the ship was not moving. the pirates had boarded and hijacked the tanker. the crew had locked themselves in the steering gear room. later a warship arrived at the location and dispatched a helicopter.  the boarding team landed onboard the tanker and rescued all 23 crew members safely.  the pirates were detained.  the tanker sustained some damages.  the warship escorted the tanker to a safer area.;0;0;786.824101222;541.020614645;23;31
14;14;14;2010;6;5;;BCD;01:50N;067:50E;Fishing Vessel;Taiwan;Steaming;Hijacked;-1;-1;;0;1;0;0;0;0;Pirates hijacked the fishing vessel underway. They took hostage 28 crew members and sailed the vessel to Somali coast.;1.83333333333;67.8333333333;9.0;pirates hijacked the fishing vessel underway. they took hostage 28 crew members and sailed the vessel to somali coast.;0;0;681.397267875;1124.7813473;12;39
15;15;15;2010;12;5;;BCD;15:55N;060:50E;Bulk Carrier;Liberia;Steaming;Hijacked;-1;-1;;0;0;0;0;0;0;Pirates boarded and hijacked the ship along with her 23 crew. Pirates sailed the ship towards Somali coast. The ship was released on 11.12.2010.  It is believed a ransom was paid for the safe release of the crew and ship.;15.9166666667;60.8333333333;9.0;pirates boarded and hijacked the ship along with her 23 crew. pirates sailed the ship towards somali coast. the ship was released on 11.12.2010.  it is believed a ransom was paid for the safe release of the crew and ship.;0;0;736.904222599;466.286263306;27;32
16;16;16;2010;25;9;;BCD;07:24N;064:50E;General Cargo;Panama;Steaming;Boarded;-1;-1;;0;0;0;0;0;0;Heavily armed pirates boarded the ship underway.  The crew members disabled the ship's engine and locked themselves in the safe room /citadel.  When the pirates could not sail the ship they damaged the ship's equipment, set the bridge on fire and abandoned the ship. Later the crew emerged from the citadel, extinguished the fire and proceeded to a safe port.;7.4;64.8333333333;18.0;heavily armed pirates boarded the ship underway.  the crew members disabled the ship's engine and locked themselves in the safe room /citadel.  when the pirates could not sail the ship they damaged the ship's equipment, set the bridge on fire and abandoned the ship. later the crew emerged from the citadel, extinguished the fire and proceeded to a safe port.;0;1;1023.53938087;1249.43095073;18;36
17;17;17;2010;28;9;;BCD;07:07S;041:02E;Bitumen Tanker;Panama;Steaming;Hijacked;-1;-1;;0;0;0;0;0;0;Armed pirates attacked and hijacked the tanker underway. Tanker activated ship security alert.;-7.11666666667;41.0333333333;18.0;armed pirates attacked and hijacked the tanker underway. tanker activated ship security alert.;0;1;194.081032219;153.530913094;3;11
18;18;18;2010;9;10;;BCD;01:40.0S;041:43.2E;Fishing Vessel;Kenya;Steaming;Hijacked;-1;-1;;0;1;0;0;0;0;Pirates hijacked the fishing vessel and took hostage its 43 crew members. Last known position of the fishing vessel was 03:06S ҐЛ_ 047:58E.;-1.66666666667;41.7172222222;19.0;pirates hijacked the fishing vessel and took hostage its 43 crew members. last known position of the fishing vessel was 03:06s ҐЛ_ 047:58e.;0;0;351.064443355;14.0248349178;8;11
19;19;19;2010;10;10;;BCD;03:28S;040:49E;General Cargo;Panama;Steaming;Hijacked;-1;-1;;0;1;0;0;0;0;1338 UTC Steaming Hijacked  Izumi General Cargo Panama 14162 9414955 03:28S ҐЛ_ 040:49E (Around 70 NM off Mombasa, Kenya), Off Somalia Armed pirates boarded and hijacked the ship and took her crew as hostages.;-3.46666666667;40.8166666667;19.0;1338 utc steaming hijacked  izumi general cargo panama 14162 9414955 03:28s ҐЛ_ 040:49e (around 70 nm off mombasa, kenya), off somalia armed pirates boarded and hijacked the ship and took her crew as hostages.;0;0;145.590003215;79.4044016193;7;10
20;20;20;2010;12;10;;BCD;08:11N;067:56E;Product Tanker;Marshall Islands;Steaming;Boarded;-1;-1;;0;0;0;0;0;0;Pirates boarded the tanker underway. The 21 crew members locked themselves in the citadel.  When pirates could not sail the tanker, they abandoned it on 13.10.2010. Crew members took command of the tanker and resumed the voyage.;8.18333333333;67.9333333333;19.0;pirates boarded the tanker underway. the 21 crew members locked themselves in the citadel.  when pirates could not sail the tanker, they abandoned it on 13.10.2010. crew members took command of the tanker and resumed the voyage.;0;0;758.345363116;901.698310847;19;39
21;21;21;2010;23;10;;BCD;04:14S;041:19E;LPG Tanker;Singapore;Steaming;Hijacked;-1;-1;;0;0;0;0;0;0;Armed pirates attacked and hijacked the tanker underway.;-4.23333333333;41.3166666667;20.0;armed pirates attacked and hijacked the tanker underway.;0;0;185.964670332;168.916542816;6;11
22;22;22;2010;24;10;;BCD;03:29N;059:35E;General Cargo;Antigua & Barbuda;Steaming;Boarded;-1;-1;;0;0;0;0;0;1;Pirates armed with automatic weapons and RPG attacked the ship and boarded her. The crew members entered into the safe room / citadel and locked themselves from inside. They contacted the authorities for assistance.  When the pirates could not sail the ship, they caused some damages to the ship before abandoning her. The next day, the master informed a warship that all crew are safe and in the citadel.;3.48333333333;59.5833333333;20.0;pirates armed with automatic weapons and rpg attacked the ship and boarded her. the crew members entered into the safe room / citadel and locked themselves from inside. they contacted the authorities for assistance.  when the pirates could not sail the ship, they caused some damages to the ship before abandoning her. the next day, the master informed a warship that all crew are safe and in the citadel.;1;0;1007.55249237;960.799305954;14;31
23;23;23;2010;28;10;;BCD;12:08N;054:25E;Dhow;Not Stated;Steaming;Hijacked;-1;-1;;0;0;0;0;0;0;Pirates hijacked a Dhow.;12.1333333333;54.4166666667;20.0;pirates hijacked a dhow.;0;0;534.679104049;35.872306328;23;25
24;24;24;2010;30;10;;BCD;12:12N;064:53E;Product Tanker;Panama;Steaming;Hijacked;-1;-1;;0;0;0;0;0;0;Armed pirates in two skiffs boarded and hijacked the tanker underway.;12.2;64.8833333333;20.0;armed pirates in two skiffs boarded and hijacked the tanker underway.;0;0;1027.49260235;1018.89741491;23;36
25;25;25;2010;30;10;;BCD;15:06N;055:58E;Bulk Carrier;Malta;Steaming;Boarded;-1;-1;;0;0;0;0;0;0;Armed pirates attacked and boarded the ship underway. The crew went into the citadel and contacted the authorities for assistance. The pirates could not sail the ship as the crew were able to control the ship from the safe room. Later, the pirates abandoned the ship. The authorities boarded the ship and made a thorough search. Finally, the crew took command of the ship and sailed towards a safe port.;15.1;55.9666666667;20.0;armed pirates attacked and boarded the ship underway. the crew went into the citadel and contacted the authorities for assistance. the pirates could not sail the ship as the crew were able to control the ship from the safe room. later, the pirates abandoned the ship. the authorities boarded the ship and made a thorough search. finally, the crew took command of the ship and sailed towards a safe port.;0;0;292.330113117;233.517910649;26;27
26;26;26;2010;31;10;;BCD;09:57S;042:19E;Chemical Tanker;Malta;Steaming;Boarded;-1;-1;;0;0;0;0;0;0;Armed pirates attacked and boarded a chemical tanker. All crew retreated into the citadel from where they had control of ship. After 4hrs onboard the pirates abandoned the ship and the crew took command of the ship and sailed towards a safe port.;-9.95;42.3166666667;20.0;armed pirates attacked and boarded a chemical tanker. all crew retreated into the citadel from where they had control of ship. after 4hrs onboard the pirates abandoned the ship and the crew took command of the ship and sailed towards a safe port.;0;0;234.621184557;191.404165402;0;12
27;27;27;2010;3;11;;BCD;05:15.0S;043:39.0E;;Comoros;Steaming;Hijacked;-1;-1;;0;1;0;0;0;0;A merchant vessel was reported hijacked by pirates. Nine crew and twenty passengers were taken hostage.;-5.25;43.65;21.0;a merchant vessel was reported hijacked by pirates. nine crew and twenty passengers were taken hostage.;0;0;462.69732389;419.52850589;5;13
28;28;28;2010;11;11;;BCD;11:26N;066:05E;Chemical Tanker;Panama;Steaming;Hijacked;-1;-1;;0;0;0;0;0;0;Pirates in skiff chased the tanker underway.  Pirates opened fire on her and boarded.  Pirates hijacked the tanker.;11.4333333333;66.0833333333;21.0;pirates in skiff chased the tanker underway.  pirates opened fire on her and boarded.  pirates hijacked the tanker.;0;0;944.568543259;939.501444942;23;37
29;29;29;2010;11;11;;BCD;17:13N;065:01E;General Cargo;Antigua & Barbuda;Steaming;Boarded;-1;-1;;0;0;0;0;0;0;Armed pirates attacked and boarded the ship underway with intent to hijack. The ship sent a distress message and all crew mustered at citadel. Indian authorities received the message and sent two warships and maritime aircrafts to render assistance to the ship. The naval boarding team boarded the ship and rescued all the crewmembers and conducted a thorough search. No pirates were found onboard. The crew took command of the ship and continued the journey.;17.2166666667;65.0166666667;21.0;armed pirates attacked and boarded the ship underway with intent to hijack. the ship sent a distress message and all crew mustered at citadel. indian authorities received the message and sent two warships and maritime aircrafts to render assistance to the ship. the naval boarding team boarded the ship and rescued all the crewmembers and conducted a thorough search. no pirates were found onboard. the crew took command of the ship and continued the journey.;0;0;776.773828057;684.114868166;29;36
30;30;30;2010;12;11;;BCD;18:02.55N;066:03.39E;General Cargo;Panama;Steaming;Hijacked;-1;-1;;0;1;0;0;0;0;Armed pirates attacked and boarded the ship underway. They hijacked the ship and took hostage 29 crewmembers. .;18.0486111111;66.0608333333;21.0;armed pirates attacked and boarded the ship underway. they hijacked the ship and took hostage 29 crewmembers. .;0;0;641.208005961;541.106041341;30;37
31;31;31;2010;20;11;;BCD;20:30N;060:01E;Heavy Load Carrier;China;Steaming;Boarded;-1;-1;;0;0;0;0;0;0;Pirates armed with guns boarded the heavy load carrier ship underway with intent to hijack. The crew locked themselves in the citadel.  On 21.11.2010 a Naval boarding team rescued the crew and the ship.  The pirates escaped before the boarding team arrived onboard.;20.5;60.0166666667;22.0;pirates armed with guns boarded the heavy load carrier ship underway with intent to hijack. the crew locked themselves in the citadel.  on 21.11.2010 a naval boarding team rescued the crew and the ship.  the pirates escaped before the boarding team arrived onboard.;1;0;377.848783191;109.978567884;32;31
32;32;32;2010;21;11;;BCD;15:30N;059:17E;Tanker;Marshall Islands;Steaming;Boarded;-1;-1;;0;0;0;0;0;0;Armed pirates in a skiff chased and boarded the tanker underway. The crew locked themselves in the citadel.  On 22.11.2010 pirates abandoned the ship. The crew regained control of the ship.;15.5;59.2833333333;22.0;armed pirates in a skiff chased and boarded the tanker underway. the crew locked themselves in the citadel.  on 22.11.2010 pirates abandoned the ship. the crew regained control of the ship.;0;0;585.462735983;411.489203226;27;30
33;33;33;2010;26;11;;BCD;05:38N;068:27E;Container;Malaysia;Steaming;Hijacked;-1;-1;;0;1;0;0;0;0;The ship was reported attacked by armed pirates. They took hostage 23 crewmembers and hijacked the ship.;5.63333333333;68.45;22.0;the ship was reported attacked by armed pirates. they took hostage 23 crewmembers and hijacked the ship.;0;0;582.598829923;964.315459258;16;40
34;34;34;2010;26;11;;BCD;09:39N;067:23E;General Cargo;Antigua & Barbuda;Steaming;Boarded;-1;-1;;0;0;0;0;0;0;Armed pirates attacked and boarded the ship underway with intent to hijack. Master sent a distress message and all crewmembers locked themselves into the citadel from where they were able to control the ship. Later, a naval boarding team boarded the ship and rescued all the crewmembers and conducted a thorough search. No pirates were found onboard.;9.65;67.3833333333;22.0;armed pirates attacked and boarded the ship underway with intent to hijack. master sent a distress message and all crewmembers locked themselves into the citadel from where they were able to control the ship. later, a naval boarding team boarded the ship and rescued all the crewmembers and conducted a thorough search. no pirates were found onboard.;0;0;888.991123088;886.012188024;21;39
35;35;35;2010;27;11;;BCD;13:43N;056:49E;Bulk Carrier;Turkey;Steaming;Boarded;-1;-1;;0;0;0;0;0;0;Armed pirates attacked and boarded the ship underway with intent to hijack. Master informed the authorities that all crewmembers had locked themselves into the citadel from where they were able to control the ship. Unable to gain full control of the ship, the pirates damaged some bridge equipment and left the ship. Later, a naval boarding team boarded the ship and rescued all the crewmembers and conducted a thorough search. No pirates were found onboard.;13.7166666667;56.8166666667;22.0;armed pirates attacked and boarded the ship underway with intent to hijack. master informed the authorities that all crewmembers had locked themselves into the citadel from where they were able to control the ship. unable to gain full control of the ship, the pirates damaged some bridge equipment and left the ship. later, a naval boarding team boarded the ship and rescued all the crewmembers and conducted a thorough search. no pirates were found onboard.;0;0;467.306200259;279.231817799;25;28
36;36;36;2010;5;12;;BCD;08:10N;071:43E;Bulk Carrier;Bangladesh;Steaming;Hijacked;-1;-1;;0;1;0;0;0;0;A bulk carrier ship was reported hijacked by six armed pirates and 26 crewmembers were taken hostage.;8.16666666667;71.7166666667;23.0;a bulk carrier ship was reported hijacked by six armed pirates and 26 crewmembers were taken hostage.;0;0;482.687750632;526.882680117;19;43
37;37;37;2010;10;12;;BCD;09:57S;041:46E;Container;Liberia;Steaming;Hijacked;-1;-1;;0;1;0;0;0;0;A container ship was attacked and hijacked by armed pirates in two skiffs. 23 crewmembers were taken hostages.;-9.95;41.7666666667;23.0;a container ship was attacked and hijacked by armed pirates in two skiffs. 23 crewmembers were taken hostages.;0;0;175.246678852;147.910961619;0;11
38;38;38;2010;11;12;;BCD;06:09N;067:19E;Bulk Carrier;Panama;Steaming;Hijacked;-1;-1;;0;1;0;0;0;1;Pirates armed with guns and RPG in skiffs chased, fired upon and boarded the ship underway. They took hostage 24 crewmembers and hijacked the ship.;6.15;67.3166666667;23.0;pirates armed with guns and rpg in skiffs chased, fired upon and boarded the ship underway. they took hostage 24 crewmembers and hijacked the ship.;1;0;719.181777751;1058.51179669;17;39
39;39;39;2010;20;12;;BCD;01:42S;060:52E;Bulk Carrier;Panama;Steaming;Hijacked;-1;-1;;0;1;0;0;0;0;Pirates attacked and hijacked the ship and took her 19 crew members as hostage. Pirates are sailing the ship towards Somalia.;-1.7;60.8666666667;24.0;pirates attacked and hijacked the ship and took her 19 crew members as hostage. pirates are sailing the ship towards somalia.;0;0;682.192894054;634.904271871;8;32
40;40;40;2010;25;12;;BCD;16:01N;060:12E;General Cargo;Thailand;Steaming;Hijacked;-1;-1;;0;1;0;0;0;0;Pirates boarded and hijacked the ship underway with her 27 crew member as hostage.;16.0166666667;60.2;24.0;pirates boarded and hijacked the ship underway with her 27 crew member as hostage.;0;0;668.210649613;414.096298077;27;31
41;41;41;2010;27;12;;BCD;18:10N;057:50E;General Cargo;Antigua & Barbuda;Steaming;Hijacked;-1;-1;;0;0;0;0;0;0;Pirates using a previously hijacked tanker attacked and hijacked the ship along with her eight crew. 47 28.12.2010 - Steaming Hijacked Vega 5 Fishing vessel Mozambique 148 125 21:55S 035:36E  (Around 10 NM NE Off Ilha Magaruque,  Mozambique Channel) Off Somalia Narration : Pirates hijacked a fishing vessel and  14 crew.  Owners reported that a hired private aircraft spotted the fishing vessel on 31.12.2010 at position 14:28S ҐЛ_ 041:42E, heading north towards Somalia.  AFRICA (GULF OF ADEN / RED SEA)  Ref Date Time Status Type Name of Ship Type/Flag/Grt/ IMO Number Position Narration;18.1666666667;57.8333333333;24.0;pirates using a previously hijacked tanker attacked and hijacked the ship along with her eight crew. 47 28.12.2010 - steaming hijacked vega 5 fishing vessel mozambique 148 125 21:55s 035:36e  (around 10 nm ne off ilha magaruque,  mozambique channel) off somalia narration : pirates hijacked a fishing vessel and  14 crew.  owners reported that a hired private aircraft spotted the fishing vessel on 31.12.2010 at position 14:28s ҐЛ_ 041:42e, heading north towards somalia.  africa (gulf of aden / red sea)  ref date time status type name of ship type/flag/grt/ imo number position narration;0;0;426.970892693;86.80489028;30;29
42;42;42;2010;1;1;;BCD;12:31N;047:18E;Chemical Tanker;Singapore;Steaming;Hijacked;-1;-1;;0;1;0;0;0;0;Pirates hijacked a tanker underway and took her 24 crewmembers hostage. They sailed the tanker to an undisclosed location in Somalia. The tanker was released on 26.02.2010.  It is believed a ransom was paid for the safe release of the crew and tanker.;12.5166666667;47.3;1.0;pirates hijacked a tanker underway and took her 24 crewmembers hostage. they sailed the tanker to an undisclosed location in somalia. the tanker was released on 26.02.2010.  it is believed a ransom was paid for the safe release of the crew and tanker.;0;0;259.21774124;118.411435887;24;18
43;43;43;2010;3;2;;BCD;13:04N;047:04E;General Cargo;North Korea;Steaming;Hijacked;-1;-1;;0;1;1;0;0;0;Armed pirates attacked and hijacked a ship and took her 10 crew members hostage. On 02.06.2010 crew managed to free the vessel from the pirates.  During the struggle to free the vessel, one crew was injured.  Vessel sailed away from the area and was intercepted by a warship.  The 10 crew members of the MV Rim were then embarked onboard the warship as the vessel could not continue to sail due to severe engine problems.  The warship arrived at Djibouti.  The crews were landed ashore once a diplomatic clearance was granted.  The MV Rim was unmanned and drifting since 6.6.2010.  A warning to ships was broadcast.;13.0666666667;47.0666666667;3.0;armed pirates attacked and hijacked a ship and took her 10 crew members hostage. on 02.06.2010 crew managed to free the vessel from the pirates.  during the struggle to free the vessel, one crew was injured.  vessel sailed away from the area and was intercepted by a warship.  the 10 crew members of the mv rim were then embarked onboard the warship as the vessel could not continue to sail due to severe engine problems.  the warship arrived at djibouti.  the crews were landed ashore once a diplomatic clearance was granted.  the mv rim was unmanned and drifting since 6.6.2010.  a warning to ships was broadcast.;0;0;233.133565564;52.6695311525;24;17
44;44;44;2010;5;2;;BCD;13:00N;048:45E;Bulk Carrier;Antigua & Barbuda;Steaming;Boarded;6;6;;0;0;0;0;0;0;Six pirates in a high-speed boat armed with machine guns fired upon a ship underway. Ship raised alarm, sent mayday messages, contacted warship and took evasive manoeuvres. The pirates managed to board the ship using aluminium ladder while firing at the bridge. Master informed navy that all crew mustered in citadel and locked down. A warship and helicopter arrived to assist and military forces boarded the ship. The pirates had aborted and left the ship before the navy boarded the ship. All crewmembers are safe.;13.0;48.75;3.0;six pirates in a high-speed boat armed with machine guns fired upon a ship underway. ship raised alarm, sent mayday messages, contacted warship and took evasive manoeuvres. the pirates managed to board the ship using aluminium ladder while firing at the bridge. master informed navy that all crew mustered in citadel and locked down. a warship and helicopter arrived to assist and military forces boarded the ship. the pirates had aborted and left the ship before the navy boarded the ship. all crewmembers are safe.;1;0;414.693842248;114.63633513;24;19
45;45;45;2010;29;3;;BCD;13:15N;046:40E;Ro-Ro;Panama;Steaming;Hijacked;-1;-1;;0;1;0;0;0;0;Armed pirates boarded and hijacked a ship underway. They took hostage 24 crewmembers and sailed the ship towards Somali coast.;13.25;46.6666666667;6.0;armed pirates boarded and hijacked a ship underway. they took hostage 24 crewmembers and sailed the ship towards somali coast.;0;0;194.029884035;19.5125445133;24;17
46;46;46;2010;21;4;;BCD;16:25N;057:13E;Bulk Carrier;Panama;Steaming;Hijacked;-1;-1;;0;1;0;0;0;0;Pirates in skiffs opened fire and hijacked the ship underway. They took the 21 crewmembers as hostage. The ship was released on 17.10.2010.  It is believed a ransom was paid for the safe release of the crew and ship.;16.4166666667;57.2166666667;8.0;pirates in skiffs opened fire and hijacked the ship underway. they took the 21 crewmembers as hostage. the ship was released on 17.10.2010.  it is believed a ransom was paid for the safe release of the crew and ship.;0;0;346.382066552;190.064782731;28;28
47;47;47;2010;8;5;;BCD;14:58N;054:47E;Chemical Tanker;Marshall Islands;Steaming;Hijacked;-1;-1;;0;1;0;0;0;0;Armed pirates chased, attacked and hijacked the tanker underway. They took hostage 22 crewmembers and sailed the tanker towards Somali coast. The vessel was released on 28.12.2010.  It is believed a ransom was paid for their safe release of the crew and tanker.;14.9666666667;54.7833333333;9.0;armed pirates chased, attacked and hijacked the tanker underway. they took hostage 22 crewmembers and sailed the tanker towards somali coast. the vessel was released on 28.12.2010.  it is believed a ransom was paid for their safe release of the crew and tanker.;0;0;234.315760111;218.216522424;26;26
